TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
11;MINIMAX_T;1;2.193;5;26;13.0;985374; ;
12;MINIMAX_T;2;2.905;5;26;16.0;1337360; ;
13;MINIMAX_T;1;2.121;5;24;14.0;687776; ;
14;MINIMAX_T;2;1.313;5;24;14.0;575543; ;
15;MINIMAX_T;1;0.823;5;24;14.0;340301; ;
16;MINIMAX_T;2;1.037;5;24;13.0;469867; ;
17;MINIMAX_T;1;2.13;5;24;15.0;907131; ;
18;MINIMAX_T;2;1.347;5;24;14.0;615830; ;
19;MINIMAX_T;1;0.911;5;24;14.0;370176; ;
20;MINIMAX_T;2;1.474;5;24;13.0;561327; ;
21;MINIMAX_T;1;1.505;5;26;15.0;729838; ;
22;MINIMAX_T;2;1.143;5;23;14.0;449981; ;
23;MINIMAX_T;1;1.021;5;23;14.0;470214; ;
24;MINIMAX_T;2;1.256;5;23;14.0;588585; ;
25;MINIMAX_T;1;1.448;5;23;13.0;692921; ;
26;MINIMAX_T;2;1.822;5;25;16.0;808980; ;
27;MINIMAX_T;1;1.151;5;24;14.0;470435; ;
28;MINIMAX_T;2;1.401;5;23;15.0;621511; ;
29;MINIMAX_T;1;1.329;5;23;13.0;504392; ;
30;MINIMAX_T;2;1.529;5;26;15.0;709218;EMPATE;
1;MINIMAX_T;2;0.532;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.53;5;20;12.0;251843; ;
3;MINIMAX_T;2;1.022;5;24;13.0;463102; ;
4;MINIMAX_T;1;1.705;5;24;13.0;825619; ;
5;MINIMAX_T;2;2.586;5;23;14.0;1179382; ;
6;MINIMAX_T;1;2.629;5;25;14.0;1020146; ;
7;MINIMAX_T;2;2.242;5;24;15.0;1005561; ;
8;MINIMAX_T;1;1.643;5;24;13.0;717224; ;
9;MINIMAX_T;2;1.356;5;23;15.0;671023; ;
10;MINIMAX_T;1;1.408;5;26;14.0;597653; ;
11;MINIMAX_T;2;1.785;5;23;14.0;732488; ;
12;MINIMAX_T;1;1.426;5;26;14.0;651551; ;
13;MINIMAX_T;2;1.549;5;23;14.0;653235; ;
14;MINIMAX_T;1;1.681;5;26;15.0;786033; ;
15;MINIMAX_T;2;1.773;5;24;14.0;822290; ;
16;MINIMAX_T;1;2.584;5;24;14.0;1139374; ;
17;MINIMAX_T;2;2.418;5;26;16.0;830838; ;
18;MINIMAX_T;1;1.578;5;22;14.0;685569; ;
19;MINIMAX_T;2;1.225;5;24;15.0;541940; ;
20;MINIMAX_T;1;0.816;5;23;12.0;363997; ;
21;MINIMAX_T;2;1.037;5;24;15.0;458964; ;
22;MINIMAX_T;1;0.557;5;20;12.0;269835; ;
23;MINIMAX_T;2;1.368;5;22;14.0;536300; ;
24;MINIMAX_T;1;1.11;5;22;13.0;469988; ;
25;MINIMAX_T;2;0.869;5;24;15.0;364000; ;
26;MINIMAX_T;1;0.498;5;24;11.0;211608; ;
27;MINIMAX_T;2;1.177;5;26;16.0;541603; ;
28;MINIMAX_T;1;0.807;5;26;11.0;371421; ;
29;MINIMAX_T;2;1.241;5;25;17.0;571760; ;
30;MINIMAX_T;1;0.583;5;24;11.0;211608;EMPATE;
1;MINIMAX_T;1;0.429;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.521;5;20;12.0;251843; ;
3;MINIMAX_T;1;0.94;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.216;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.778;5;23;13.0;638760; ;
6;MINIMAX_T;2;2.578;5;24;15.0;1290483; ;
7;MINIMAX_T;1;2.771;5;25;15.0;1232443; ;
8;MINIMAX_T;2;2.41;5;25;13.0;1031896; ;
9;MINIMAX_T;1;1.727;5;27;14.0;714014; ;
10;MINIMAX_T;2;1.256;5;23;13.0;456746; ;
11;MINIMAX_T;1;1.199;5;25;13.0;552491; ;
12;MINIMAX_T;2;2.011;5;24;15.0;964393; ;
13;MINIMAX_T;1;1.908;5;26;14.0;861330; ;
14;MINIMAX_T;2;1.571;5;23;15.0;668477; ;
15;MINIMAX_T;1;1.17;5;25;13.0;513549; ;
16;MINIMAX_T;2;1.866;5;24;15.0;839598; ;
17;MINIMAX_T;1;2.187;5;26;14.0;890059; ;
18;MINIMAX_T;2;1.575;5;24;14.0;661212; ;
19;MINIMAX_T;1;1.108;5;23;13.0;487293; ;
20;MINIMAX_T;2;1.602;5;24;14.0;748091; ;
21;MINIMAX_T;1;1.359;5;24;13.0;588685; ;
22;MINIMAX_T;2;1.574;5;26;15.0;706844; ;
23;MINIMAX_T;1;2.015;5;26;13.0;683027; ;
24;MINIMAX_T;2;1.334;5;25;15.0;633189; ;
25;MINIMAX_T;1;0.853;5;23;12.0;342790; ;
26;MINIMAX_T;2;1.185;5;25;15.0;581210; ;
27;MINIMAX_T;1;1.234;5;22;14.0;580699; ;
28;MINIMAX_T;2;1.595;5;23;14.0;769301; ;
29;MINIMAX_T;1;2.132;5;25;15.0;854711; ;
30;MINIMAX_T;2;1.621;5;23;14.0;661349;EMPATE;
1;MINIMAX_T;2;0.446;5;20;13.0;178496; ;
2;MINIMAX_T;1;0.513;5;20;12.0;251843; ;
3;MINIMAX_T;2;1.003;5;24;13.0;463102; ;
4;MINIMAX_T;1;1.72;5;24;13.0;825619; ;
5;MINIMAX_T;2;2.448;5;23;14.0;1179382; ;
6;MINIMAX_T;1;2.697;5;25;14.0;1020146; ;
7;MINIMAX_T;2;2.296;5;24;15.0;1005561; ;
8;MINIMAX_T;1;1.724;5;24;13.0;717224; ;
9;MINIMAX_T;2;1.471;5;23;15.0;671023; ;
10;MINIMAX_T;1;1.238;5;24;13.0;562549; ;
11;MINIMAX_T;2;2.131;5;24;14.0;832741; ;
12;MINIMAX_T;1;1.589;5;24;14.0;663193; ;
13;MINIMAX_T;2;0.942;5;23;14.0;397061; ;
14;MINIMAX_T;1;1.08;5;24;13.0;514812; ;
15;MINIMAX_T;2;1.683;5;24;14.0;832741; ;
16;MINIMAX_T;1;1.638;5;24;14.0;663193; ;
17;MINIMAX_T;2;0.856;5;23;14.0;397061; ;
18;MINIMAX_T;1;1.116;5;24;13.0;514812; ;
19;MINIMAX_T;2;1.829;5;23;14.0;784868; ;
20;MINIMAX_T;1;1.834;5;26;14.0;766590; ;
21;MINIMAX_T;2;1.415;5;24;14.0;676158; ;
22;MINIMAX_T;1;1.816;5;23;14.0;811222; ;
23;MINIMAX_T;2;1.237;5;22;14.0;549600; ;
24;MINIMAX_T;1;1.075;5;20;13.0;447670; ;
25;MINIMAX_T;2;0.948;5;21;13.0;417473; ;
26;MINIMAX_T;1;0.741;5;22;13.0;332207; ;
27;MINIMAX_T;2;0.839;5;21;13.0;318943; ;
28;MINIMAX_T;1;0.911;5;22;13.0;421995;VITORIA;
1;MINIMAX_T;1;0.435;5;20;13.0;178496; ;
2;MINIMAX_T;2;0.524;5;20;12.0;251843; ;
3;MINIMAX_T;1;0.826;5;24;13.0;463102; ;
4;MINIMAX_T;2;1.222;5;23;14.0;601368; ;
5;MINIMAX_T;1;1.381;5;23;13.0;638760; ;
6;MINIMAX_T;2;2.717;5;24;15.0;1290483; ;
7;MINIMAX_T;1;3.056;5;25;15.0;1232443; ;
8;MINIMAX_T;2;2.696;5;25;13.0;1031896; ;
