TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; MAX BRANCH; BFACTOR; TOTAL_NODES;RESULTADO;
9;MINIMAX;1;0.076;4;22;14.0;56256; ;
10;MINIMAX;2;0.058;4;23;15.0;44707; ;
11;MINIMAX;1;0.053;4;20;13.0;41928; ;
12;MINIMAX;2;0.054;4;24;16.0;42256; ;
13;MINIMAX;1;0.05;4;22;11.0;38687; ;
14;MINIMAX;2;0.063;4;24;16.0;49014; ;
15;MINIMAX;1;0.062;4;22;13.0;50731;VITORIA;
1;MINIMAX;2;0.017;4;16;11.0;13602; ;
2;MINIMAX;1;0.03;4;19;13.0;19638; ;
3;MINIMAX;2;0.043;4;20;14.0;34205; ;
4;MINIMAX;1;0.057;4;21;13.0;42734; ;
5;MINIMAX;2;0.06;4;23;15.0;45274; ;
6;MINIMAX;1;0.09;4;22;16.0;69084; ;
7;MINIMAX;2;0.062;4;21;13.0;47826; ;
8;MINIMAX;1;0.051;4;21;14.0;37036; ;
9;MINIMAX;2;0.043;4;20;12.0;31000; ;
10;MINIMAX;1;0.052;4;23;16.0;40346; ;
11;MINIMAX;2;0.052;4;21;12.0;40645; ;
12;MINIMAX;1;0.03;4;20;14.0;21690; ;
13;MINIMAX;2;0.046;4;23;14.0;36681; ;
14;MINIMAX;1;0.05;4;23;13.0;38037; ;
15;MINIMAX;2;0.045;4;21;14.0;34579; ;
16;MINIMAX;1;0.069;4;21;14.0;51302; ;
17;MINIMAX;2;0.068;4;22;16.0;52480;VITORIA;
1;MINIMAX;1;0.018;4;16;11.0;13602; ;
2;MINIMAX;2;0.026;4;19;12.0;19624; ;
3;MINIMAX;1;0.041;4;20;14.0;31692; ;
4;MINIMAX;2;0.074;4;23;15.0;56038; ;
5;MINIMAX;1;0.063;4;22;14.0;50773; ;
6;MINIMAX;2;0.083;4;26;17.0;61744; ;
7;MINIMAX;1;0.072;4;25;12.0;56794; ;
8;MINIMAX;2;0.064;4;27;19.0;51882; ;
9;MINIMAX;1;0.081;4;26;12.0;62500; ;
10;MINIMAX;2;0.04;4;25;16.0;30717; ;
11;MINIMAX;1;0.042;4;24;11.0;31821; ;
12;MINIMAX;2;0.05;4;23;15.0;38258; ;
13;MINIMAX;1;0.076;4;21;14.0;58698; ;
14;MINIMAX;2;0.068;4;23;17.0;53462; ;
15;MINIMAX;1;0.09;4;22;14.0;70232; ;
16;MINIMAX;2;0.066;4;22;15.0;51789; ;
17;MINIMAX;1;0.091;4;23;15.0;64988; ;
18;MINIMAX;2;0.07;4;22;14.0;54776; ;
19;MINIMAX;1;0.076;4;23;17.0;56510; ;
20;MINIMAX;2;0.061;4;22;14.0;49724; ;
21;MINIMAX;1;0.056;4;22;15.0;43114; ;
22;MINIMAX;2;0.093;4;21;15.0;72112; ;
23;MINIMAX;1;0.059;4;21;13.0;45954; ;
24;MINIMAX;2;0.069;4;23;16.0;51524; ;
25;MINIMAX;1;0.075;4;22;13.0;57148; ;
26;MINIMAX;2;0.049;4;23;16.0;37791; ;
27;MINIMAX;1;0.041;4;22;12.0;30853; ;
28;MINIMAX;2;0.033;4;19;14.0;26145; ;
29;MINIMAX;1;0.036;4;19;12.0;27756;VITORIA;
1;MINIMAX;2;0.02;4;16;11.0;13602; ;
2;MINIMAX;1;0.026;4;19;12.0;19624; ;
3;MINIMAX;2;0.04;4;20;14.0;31692; ;
4;MINIMAX;1;0.075;4;23;15.0;56038; ;
