PARTIDA;TURNO;NOME_AGENTE;COR_PECA;PLY_TIME;MAX DEPTH; BFACTOR; TOTAL_NODES;MAX BRANCH;MAX BOARD;RESULTADO;
9;24;MINIMAX_T;1;0.0;5;1.0;5;2;22212	11122	22110	22112	01121	; ;
9;25;MCTS;2;0.001;1;1.0;2;1;22212	11122	22111	22112	01121	;EMPATE;
10;1;MINIMAX_T;1;1.094;5;20.0;821955;24;01000	00000	00000	00000	00000	; ;
10;2;MCTS;2;1.099;12;15.0;76687;23;02000	00000	00100	00000	00000	; ;
10;3;MINIMAX_T;1;3.682;5;19.0;2091504;22;20000	00001	00100	00000	00000	; ;
10;4;MCTS;2;3.693;10;13.0;319215;21;22000	00000	00100	00010	00000	; ;
10;5;MINIMAX_T;1;4.504;5;17.0;2572636;21;22000	00000	00100	00010	00000	; ;
10;6;MCTS;2;4.538;8;13.0;378733;20;22000	00000	00110	00010	00000	; ;
10;7;MINIMAX_T;1;2.276;5;15.0;1326006;19;22200	00000	00110	00010	00000	; ;
10;8;MCTS;2;2.279;12;7.0;170854;18;22210	00000	00110	00010	00000	; ;
10;9;MINIMAX_T;1;1.073;5;13.0;798170;17;22210	00020	00110	00010	00000	; ;
10;10;MCTS;2;1.074;10;7.0;125013;16;22210	00020	01110	00010	00000	; ;
10;11;MINIMAX_T;1;0.64;5;11.0;392644;15;22210	00020	21110	00010	00000	; ;
10;12;MCTS;2;0.643;8;7.0;79764;14;22210	00020	21110	00110	00000	; ;
10;13;MINIMAX_T;1;0.245;5;9.0;144018;13;22210	20020	21110	00110	00000	; ;
10;14;MCTS;2;0.256;9;4.0;34477;12;22210	20020	21110	10110	00000	; ;
10;15;MINIMAX_T;1;0.094;5;7.0;43807;11;22210	22020	21110	10110	00000	;VITORIA;
11;1;MCTS;2;0.095;5;20.0;1480;24;02000	00000	00000	00000	00000	; ;
11;2;MINIMAX_T;1;1.015;5;19.0;659933;23;01000	00000	00200	00000	00000	; ;
11;3;MCTS;2;1.026;9;15.0;102454;22;00000	00100	20200	00000	00000	; ;
11;4;MINIMAX_T;1;5.513;5;18.0;3231138;22;00000	02100	00200	00000	00000	; ;
11;5;MCTS;2;5.529;10;13.0;452294;21;00000	02100	00200	00010	00000	; ;
11;6;MINIMAX_T;1;3.751;5;16.0;1960329;20;00000	02100	00200	02010	00000	; ;
11;7;MCTS;2;3.761;8;12.0;327574;19;00000	02100	01200	02010	00000	; ;
11;8;MINIMAX_T;1;0.822;5;14.0;491735;17;01000	02120	01200	02010	00000	; ;
11;9;MCTS;2;0.835;11;8.0;63994;17;00001	02120	01200	02010	00000	; ;
11;10;MINIMAX_T;1;0.692;5;12.0;553474;16;20001	02120	01200	02010	00000	; ;
11;11;MCTS;2;0.703;10;7.0;59216;14;22001	02120	01200	02010	10000	; ;
11;12;MINIMAX_T;1;0.347;5;10.0;262493;14;20201	02120	01200	02010	10000	; ;
11;13;MCTS;2;0.354;8;6.0;59921;13;20201	02120	01200	12010	10000	; ;
11;14;MINIMAX_T;1;0.142;5;8.0;91445;12;20221	02120	01200	12010	10000	; ;
11;15;MCTS;2;0.143;4;8.0;6424;11;21221	02120	01200	12010	10000	; ;
11;16;MINIMAX_T;1;0.046;5;6.0;36101;10;21221	02120	01200	12010	10200	; ;
11;17;MCTS;2;0.047;4;6.0;2167;9;21221	02120	01200	12011	10200	; ;
11;18;MINIMAX_T;1;0.016;5;4.0;8801;8;21221	02120	01200	12011	10202	; ;
11;19;MCTS;2;0.031;4;4.0;748;7;21221	02120	01210	12011	10202	; ;
11;20;MINIMAX_T;1;0.0;5;2.0;1237;6;21221	02120	01210	12211	10202	; ;
11;21;MCTS;2;0.016;5;1.0;326;5;21221	02120	01210	12211	11202	; ;
11;22;MINIMAX_T;1;0.0;5;1.0;65;4;21221	02120	01210	12211	11222	; ;
11;23;MCTS;2;0.016;3;1.0;16;3;21221	12120	01210	12211	11222	; ;
11;24;MINIMAX_T;1;0.0;5;1.0;5;2;21221	12120	21210	12211	11222	; ;
